page_number,frontend_id,title,titleSlug,difficulty,is_premium,topic_tags,num_tags,similar_questions,no_similar_questions,acceptance,accepted,submission,acceptance_rate,discussion_count,likes,dislikes,like_ratio,likebility,is_popular,problem_URL,solution_URL,internal_id,description,last_updated
1,1,Two Sum,two-sum,Easy,False,"['Array', 'Hash Table']",23.0,"['[""[\'3Sum\'""', '""\'4Sum\'""', '""\'Two Sum II - Input Array Is Sorted\'""', '""\'Two Sum III - Data structure design\'""', '""\'Subarray Sum Equals K\'""', '""\'Two Sum IV - Input is a BST\'""', '""\'Two Sum Less Than K\'""', '""\'Max Number of K-Sum Pairs\'""', '""\'Count Good Meals\'""', '""\'Count Number of Pairs With Absolute Difference K\'""', '""\'Number of Pairs of Strings With Concatenation Equal to Target\'""', '""\'Find All K-Distant Indices in an Array\'""', '""\'First Letter to Appear Twice\'""', '""\'Number of Excellent Pairs\'""', '""\'Number of Arithmetic Triplets\'""', '""\'Node With Highest Edge Score\'""', '""\'Check Distances Between Same Letters\'""', '""\'Find Subarrays With Equal Sum\'""', '""\'Largest Positive Integer That Exists With Its Negative\'""', '""\'Number of Distinct Averages\'""', '""\'Count Pairs Whose Sum is Less than Target\']""]']",21,56.472279913365576,19293695,34164957,56.47,1646,65123,2412,0.96,96.0,True,https://leetcode.com/problems/two-sum/,https://leetcode.com/problems/two-sum/solution/,,,
1,2,Add Two Numbers,add-two-numbers,Medium,False,"['Linked List', 'Math', 'Recursion']",36.0,"['[""[\'Multiply Strings\'""', '""\'Add Binary\'""', '""\'Sum of Two Integers\'""', '""\'Add Strings\'""', '""\'Add Two Numbers II\'""', '""\'Add to Array-Form of Integer\'""', '""\'Add Two Polynomials Represented as Linked Lists\'""', '""\'Double a Number Represented as a Linked List\']""]']",8,47.19325230231497,6347474,13449996,47.19,1000,35167,7025,0.83,83.0,True,https://leetcode.com/problems/add-two-numbers/,https://leetcode.com/problems/add-two-numbers/solution/,,,
1,3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,False,"['Hash Table', 'String', 'Sliding Window']",42.0,"['[""[\'Longest Substring with At Most Two Distinct Characters\'""', '""\'Longest Substring with At Most K Distinct Characters\'""', '""\'Subarrays with K Different Integers\'""', '""\'Maximum Erasure Value\'""', '""\'Number of Equal Count Substrings\'""', '""\'Minimum Consecutive Cards to Pick Up\'""', '""\'Longest Nice Subarray\'""', '""\'Optimal Partition of String\'""', '""\'Count Complete Subarrays in an Array\'""', '""\'Find Longest Special Substring That Occurs Thrice II\'""', '""\'Find Longest Special Substring That Occurs Thrice I\']""]']",11,37.79245468131075,8362837,22128327,37.79,720,43432,2124,0.95,95.0,True,https://leetcode.com/problems/longest-substring-without-repeating-characters/,https://leetcode.com/problems/longest-substring-without-repeating-characters/solution/,,,
1,4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,False,"['Array', 'Binary Search', 'Divide and Conquer']",48.0,"['[""[\'Median of a Row Wise Sorted Matrix\']""]']",1,45.04246794529089,3791262,8417111,45.04,821,31141,3496,0.9,90.0,True,https://leetcode.com/problems/median-of-two-sorted-arrays/,https://leetcode.com/problems/median-of-two-sorted-arrays/solution/,,,
1,5,Longest Palindromic Substring,longest-palindromic-substring,Medium,False,"['Two Pointers', 'String', 'Dynamic Programming']",49.0,"['[""[\'Shortest Palindrome\'""', '""\'Palindrome Permutation\'""', '""\'Palindrome Pairs\'""', '""\'Longest Palindromic Subsequence\'""', '""\'Palindromic Substrings\'""', '""\'Maximum Number of Non-overlapping Palindrome Substrings\']""]']",6,36.65020476163402,4254554,11608573,36.65,530,31727,1952,0.94,94.0,True,https://leetcode.com/problems/longest-palindromic-substring/,https://leetcode.com/problems/longest-palindromic-substring/solution/,,,
1,6,Zigzag Conversion,zigzag-conversion,Medium,False,['String'],10.0,"[""['[]']""]",1,52.67198646683248,1960329,3721774,52.67,487,8917,15667,0.36,36.0,True,https://leetcode.com/problems/zigzag-conversion/,https://leetcode.com/problems/zigzag-conversion/solution/,,,
1,7,Reverse Integer,reverse-integer,Medium,False,['Math'],8.0,"['[""[\'String to Integer (atoi)\'""', '""\'Reverse Bits\'""', '""\'A Number After a Double Reversal\'""', '""\'Count Number of Distinct Integers After Reverse Operations\']""]']",4,30.97676853701094,4493101,14504811,30.98,609,14835,13892,0.52,52.0,True,https://leetcode.com/problems/reverse-integer/,https://leetcode.com/problems/reverse-integer/solution/,,,
1,8,String to Integer (atoi),string-to-integer-atoi,Medium,False,['String'],10.0,"['[""[\'Reverse Integer\'""', '""\'Valid Number\'""', '""\'Check if Numbers Are Ascending in a Sentence\']""]']",3,19.999453212037537,2194535,10973084,20.0,851,5823,15204,0.28,28.0,True,https://leetcode.com/problems/string-to-integer-atoi/,https://leetcode.com/problems/string-to-integer-atoi/solution/,,,
1,9,Palindrome Number,palindrome-number,Easy,False,['Math'],8.0,"['[""[\'Palindrome Linked List\'""', '""\'Find Palindrome With Fixed Length\'""', '""\'Strictly Palindromic Number\'""', '""\'  Count Symmetric Integers\'""', '""\'Find the Count of Good Integers\'""', '""\'Find the Largest Palindrome Divisible by K\']""]']",6,59.80947562059927,7172567,11992389,59.81,636,14968,2870,0.84,84.0,True,https://leetcode.com/problems/palindrome-number/,https://leetcode.com/problems/palindrome-number/solution/,,,
1,10,Regular Expression Matching,regular-expression-matching,Hard,False,"['String', 'Dynamic Programming', 'Recursion']",46.0,"['[""[\'Wildcard Matching\']""]']",1,29.865186878682408,1260330,4220064,29.87,491,13033,2352,0.85,85.0,True,https://leetcode.com/problems/regular-expression-matching/,https://leetcode.com/problems/regular-expression-matching/solution/,,,
